Date,Close
1/2/2019,428.1
1/3/2019,436
1/4/2019,438.3
1/7/2019,439.9
1/8/2019,440.2
1/9/2019,442.5
1/10/2019,445.7
1/11/2019,445
1/14/2019,435.4
1/15/2019,443.3
1/16/2019,444.1
1/17/2019,444.8
1/18/2019,445
1/21/2019,441.4
1/22/2019,447
1/23/2019,460
1/24/2019,461.9
1/25/2019,453.2
1/28/2019,460.4
1/29/2019,465.1
1/30/2019,461.1
1/31/2019,469
2/1/2019,480.2
2/4/2019,480.1
2/5/2019,491.5
2/6/2019,483.3
2/7/2019,482.4
2/8/2019,477
2/11/2019,477
2/12/2019,477.5
2/13/2019,478.5
2/14/2019,478.5
2/15/2019,474.3
2/18/2019,478
2/19/2019,479.7
2/20/2019,478.5
2/21/2019,478.5
2/22/2019,478.4
2/25/2019,474.3
2/26/2019,482.7
2/27/2019,481
2/28/2019,476
3/1/2019,483.1
3/4/2019,487.1
3/5/2019,491.6
3/6/2019,484
3/7/2019,497.5
3/8/2019,502.2
3/11/2019,500.2
3/12/2019,509.6
3/13/2019,507.4
3/14/2019,513.6
3/15/2019,513
3/18/2019,523.8
3/19/2019,513.2
3/20/2019,511.8
3/21/2019,507.8
3/22/2019,508.6
3/25/2019,508
3/26/2019,506.8
3/27/2019,503.8
3/28/2019,509.4
3/29/2019,504.4
4/1/2019,504.2
4/2/2019,512.6
4/3/2019,513.8
4/4/2019,514.8
4/5/2019,518.2
4/8/2019,513.2
4/9/2019,511.2
4/10/2019,510
4/11/2019,506.4
4/12/2019,503.4
4/15/2019,508
4/16/2019,500
4/17/2019,496.5
4/23/2019,497.7
4/24/2019,500.4
4/25/2019,500
4/26/2019,508.4
4/29/2019,504.8
4/30/2019,509.6
5/1/2019,514.4
5/2/2019,503.2
5/3/2019,508.4
5/6/2019,502.2
5/7/2019,511.8
5/8/2019,509.4
5/9/2019,513.6
5/10/2019,522.6
5/13/2019,519.4
5/14/2019,518.8
5/15/2019,515
5/16/2019,522.4
5/20/2019,528
5/21/2019,534.8
5/22/2019,536
5/23/2019,537.6
5/24/2019,545.2
5/27/2019,540.4
5/28/2019,548.8
5/29/2019,532.8
6/3/2019,537.6
6/4/2019,532.2
6/6/2019,550.8
6/7/2019,560.6
6/11/2019,563
6/12/2019,567
6/13/2019,565.4
6/14/2019,566.8
6/17/2019,561.8
6/18/2019,569
6/19/2019,561.4
6/20/2019,559
6/21/2019,552.6
6/24/2019,579
6/25/2019,588.6
6/26/2019,582.2
6/27/2019,567.6
6/28/2019,567.6
7/1/2019,570.2
7/2/2019,587.4
7/3/2019,604.4
7/4/2019,600.6
7/5/2019,592.4
7/8/2019,603
7/9/2019,601.2
7/10/2019,612.6
7/11/2019,614
7/12/2019,609.2
7/15/2019,615.4
7/16/2019,615
7/17/2019,622
7/18/2019,626.8
7/19/2019,634.4
7/22/2019,634.4
7/23/2019,632.8
7/24/2019,634.8
7/25/2019,628.4
7/26/2019,620.8
7/29/2019,624.8
7/30/2019,615.8
7/31/2019,616.2
8/1/2019,626.4
8/2/2019,626
8/5/2019,620
8/6/2019,626.4
8/7/2019,642.4
8/8/2019,637.2
8/9/2019,655
8/12/2019,647.4
8/13/2019,660.4
8/14/2019,647.2
8/15/2019,663
8/16/2019,677
8/19/2019,678
8/20/2019,661.4
8/21/2019,670
8/22/2019,643.2
8/23/2019,653.6
8/26/2019,650.4
8/27/2019,661.8
8/28/2019,657
8/29/2019,646
8/30/2019,647.8
9/2/2019,653.4
9/3/2019,660
9/4/2019,668.8
9/5/2019,670.2
9/6/2019,680.6
9/9/2019,651
9/10/2019,645.6
9/11/2019,650
9/12/2019,656.2
9/13/2019,646.6
9/16/2019,643.4
9/17/2019,650
9/18/2019,627.6
9/19/2019,631
9/20/2019,622.2
9/23/2019,630
9/24/2019,637.8
9/25/2019,627.6
9/26/2019,635
9/27/2019,636.8
9/30/2019,636.6
10/1/2019,627.4
10/2/2019,617.2
10/3/2019,617.6
10/4/2019,628.6
10/7/2019,626.4
10/8/2019,622.2
10/9/2019,627
10/10/2019,620
10/11/2019,623.6
10/14/2019,628.4
10/15/2019,630.6
10/16/2019,629.6
10/17/2019,624.6
10/18/2019,622.8
10/21/2019,622.8
10/22/2019,628.2
10/23/2019,629.4
10/24/2019,624.2
10/25/2019,630
10/28/2019,623.4
10/29/2019,577
10/30/2019,593
10/31/2019,587.6
11/1/2019,587.2
11/4/2019,584.2
11/5/2019,568.4
11/6/2019,577.2
11/7/2019,576.8
11/8/2019,595
11/11/2019,605.2
11/12/2019,608.2
11/13/2019,612.2
11/14/2019,605
11/15/2019,605.6
11/18/2019,612
11/19/2019,610.6
11/20/2019,615
11/21/2019,610
11/22/2019,608.2
11/25/2019,616.4
11/26/2019,620.4
11/27/2019,621.8
11/28/2019,623.6
11/29/2019,625
